jar	jar_weight	plot	plant	depth	soil_jar	density_40	density_2H
63	175.51	CS39LXX	CS	30	221.64	1.0089	1.005
64	213.73	CS40LAX	CS	30	255.97	1.009	1.0057
65	174.44	CS41RAX	CS	30	218.4	1.0088	1.0051
66	194.96	CS42LXX	CS	30	242.75	1.0093	1.0049
67	212.18	CS43LRX	CS	30	258.91	1.008	1.0045
68	210.02	CS44RAX	CS	30	260.31	1.009	1.0041
69	194.88	CS45LRX	CS	30	239.17	1.0085	1.005
70	195.53	CS46RXX	CS	30	243.21	1.0091	1.006
71	211.38	CS47RXX	CS	30	258.87	1.0087	1.005
72	210.69	CS48LXX	CS	30	256.62	1.0091	1.0055
73	211.19	CS25LRX	CS	45	256.44	1.008	1.005
74	215.1	CS26LAX	CS	45	254.97	1.0086	1.0052
75	195	CS27RXX	CS	45	239.64	1.008	1.0045
76	201.96	CS28RRX	CS	45	246.75	1.008	1.0048
77	214.79	CS29RXX	CS	45	258.93	1.008	1.0048
78	202	CS30CAX	CS	45	246.61	1.0079	1.004
79	195.53	CS31RAX	CS	45	240.31	1.0092	1.006
80	211.38	CS32RXX	CS	45	259.37	1.0087	1.006
81	210.69	CS33CRX	CS	45	255.38	1.009	1.0055
82	175.4	CS34RXX	CS	45	221.62	1.0085	1.0052
83	194.94	CS35LRX	CS	45	239.76	1.0092	1.0055
84	211.19	CS36LAX	CS	45	257.43	1.009	1.0052
85	215.1	CS37RXX	CS	45	257.68	1.01	1.0062
86	195	CS38LAX	CS	45	240.58	1.0087	1.005
87	201.96	CS39LXX	CS	45	246.45	1.0083	1.005
88	214.79	CS40LAX	CS	45	261.24	1.0085	1.005
89	202	CS41RAX	CS	45	248.74	1.009	1.0052
90	195.53	CS42LXX	CS	45	242.23	1.009	1.0051
91	211.38	CS43LRX	CS	45	264.27	1.009	1.0051
92	210.69	CS44RAX	CS	45	257.03	1.0083	1.0049
93	175.4	CS45LRX	CS	45	221.43	1.0091	1.0051
94	201.75	CS46RXX	CS	45	249.13	1.009	1.006
95	214.22	CS47RXX	CS	45	257.17	1.009	1.0056
96	210.34	CS48LXX	CS	45	261.01	1.009	1.0056
97	213.73	CS25LRX	CS	100	254.86	1.0113	1.008
98	174.44	CS26LAX	CS	100	218.98	1.011	1.0075
99	194.96	CS27RXX	CS	100	239.3	1.0095	1.0062
100	212.18	CS28RRX	CS	100	256.62	1.01	1.0063
101	210.02	CS29RXX	CS	100	259.38	1.0093	1.0068
102	194.88	CS30CAX	CS	100	239.19	1.007	1.005
103	201.75	CS31RAX	CS	100	246.51	1.009	1.007
104	214.22	CS32RXX	CS	100	255.55	1.009	1.006
105	210.34	CS33CRX	CS	100	260.04	1.0088	1.0059
106	202.06	CS34RXX	CS	100	247.6	1.0092	1.006
107	175.51	CS35LRX	CS	100	224.41	1.01	1.0065
108	213.73	CS36LAX	CS	100	255.73	1.0097	1.0055
109	174.44	CS37RRX	CS	100	216.36	1.013	1.0093
110	194.96	CS38LAX	CS	100	239.6	1.009	1.0062
111	212.18	CS39LXX	CS	100	257.12	1.009	1.0055
112	210.02	CS40LAX	CS	100	259.85	1.012	1.007
113	194.88	CS41RAX	CS	100	239.28	1.0085	1.005
114	201.75	CS42LXX	CS	100	246.32	1.0081	1.005
115	214.22	CS43LRX	CS	100	257.93	1.0075	1.0048
116	210.34	CS44RAX	CS	100	261.41	1.008	1.005
117	194.94	CS46RXX	CS	100	240.24	1.01	1.0069
118	211.19	CS47RXX	CS	100	256.85	1.009	1.0059
119	215.1	CS48LXX	CS	100	256.19	1.0093	1.006
120	214.79	CS25LRX	CS	200	258.84	1.0085	1.0051
121	202	CS26LAX	CS	200	247.03	1.0083	1.005
122	195.53	CS27RXX	CS	200	240.16	1.0084	1.0051
123	211.38	CS28RRX	CS	200	259.28	1.0095	1.0052
124	210.69	CS29RXX	CS	200	255.62	1.009	1.0055
125	175.4	CS30CAX	CS	200	220.15	1.0075	1.006
126	194.94	CS31RAX	CS	200	240.11	1.01	1.0065
127	211.19	CS32RXX	CS	200	256.38	1.0091	1.0065
128	215.1	CS33CRX	CS	200	255.07	1.01	1.006
129	195	CS34RXX	CS	200	244.78	1.011	1.0063
130	201.96	CS35LRX	CS	200	253.38	1.012	1.007
131	214.79	CS36LAX	CS	200	259.21	1.01	1.006
132	202	CS37RRX	CS	200	247.37	1.005	1.0029
133	195.53	CS38LAX	CS	200	237.76	1.018	1.013
134	211.38	CS39LXX	CS	200	258.35	1.009	1.006
135	210.69	CS40LAX	CS	200	257.88	1.011	1.0075
136	175.4	CS41RAX	CS	200	221.44	1.0091	1.0059
137	194.94	CS42LXX	CS	200	242.11	1.0097	1.0053
138	211.19	CS43LRX	CS	200	258.19	1.0097	1.0052
139	215.1	CS44RAX	CS	200	255.33	1.0093	1.0052
140	202.06	CS45LRX	CS	200	246.83	1.0039	1.0026
141	175.51	CS46RXX	CS	200	223.23	1.006	1.0036
142	213.73	CS47RXX	CS	200	256.87	1.0095	1.0061
