"","Date","Plant","Water","Mean_water","Depth","Block","date","year","month"
"120","9/04/2012","G","A","10.6300672066118","-12.5","R",2012-04-09,2012,"spring"
"121","3/05/2012","G","X","14.9335939567348","-12.5","R",2012-05-03,2012,"spring"
"122","3/05/2012","G","A","21.332039621248","-12.5","R",2012-05-03,2012,"spring"
"123","3/05/2012","G","R","14.5278707287628","-12.5","L",2012-05-03,2012,"spring"
"124","3/05/2012","G","X","14.0109842189364","-12.5","L",2012-05-03,2012,"spring"
"125","3/05/2012","G","R","16.5584652367048","-12.5","R",2012-05-03,2012,"spring"
"126","3/05/2012","G","A","18.2045974817853","-12.5","R",2012-05-03,2012,"spring"
"127","3/05/2012","G","R","17.9887136015344","-12.5","L",2012-05-03,2012,"spring"
"128","3/05/2012","G","X","15.2616397457686","-12.5","L",2012-05-03,2012,"spring"
"129","3/05/2012","G","A","18.1127322940185","-12.5","L",2012-05-03,2012,"spring"
"130","3/05/2012","G","A","15.82192321808","-12.5","L",2012-05-03,2012,"spring"
"131","3/05/2012","G","R","15.8242762278376","-12.5","R",2012-05-03,2012,"spring"
"132","3/05/2012","G","X","15.6871280714736","-12.5","R",2012-05-03,2012,"spring"
"133","3/05/2012","G","A","17.6192839194029","-12.5","L",2012-05-03,2012,"spring"
"134","3/05/2012","G","R","16.2033875928111","-12.5","R",2012-05-03,2012,"spring"
"135","3/05/2012","G","R","17.0924360800367","-12.5","R",2012-05-03,2012,"spring"
"136","3/05/2012","G","X","13.9967850636266","-12.5","R",2012-05-03,2012,"spring"
"137","3/05/2012","G","A","14.4138137723743","-12.5","R",2012-05-03,2012,"spring"
"138","3/05/2012","G","X","16.4534862452176","-12.5","R",2012-05-03,2012,"spring"
"139","3/05/2012","G","X","16.6183131892428","-12.5","L",2012-05-03,2012,"spring"
"140","3/05/2012","G","R","14.0695646062843","-12.5","L",2012-05-03,2012,"spring"
"141","3/05/2012","G","R","14.8490739734907","-12.5","L",2012-05-03,2012,"spring"
"142","3/05/2012","G","X","15.9765079150958","-12.5","L",2012-05-03,2012,"spring"
"143","3/05/2012","G","A","17.3868019404757","-12.5","L",2012-05-03,2012,"spring"
"144","3/05/2012","G","A","14.8251426999393","-12.5","R",2012-05-03,2012,"spring"
"145","14/06/2012","G","X","9.50129900971094","-12.5","R",2012-06-14,2012,"summer"
"146","14/06/2012","G","A","10.8704702481903","-12.5","R",2012-06-14,2012,"summer"
"147","14/06/2012","G","R","8.86976409210821","-12.5","L",2012-06-14,2012,"summer"
"148","14/06/2012","G","X","9.19430600240367","-12.5","L",2012-06-14,2012,"summer"
"149","14/06/2012","G","R","9.81063094912662","-12.5","R",2012-06-14,2012,"summer"
"150","14/06/2012","G","A","9.14680100169091","-12.5","R",2012-06-14,2012,"summer"
"151","14/06/2012","G","R","10.3369452184826","-12.5","L",2012-06-14,2012,"summer"
"152","14/06/2012","G","X","9.70794345095367","-12.5","L",2012-06-14,2012,"summer"
