"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"33",33,202.06,"G09L","G",15,246.88,1.0081,1.005,11.1557340473001,6.91655510932642,81.9277108433735
"34",34,211.38,"G10L","G",15,256.89,1.0073,1.0042,9.22874093605797,6.81168973851924,83.9595693254228
"35",35,174.44,"G11R","G",15,219.92,1.0077,1.0041,9.01495162708882,7.91556728232201,83.0694810905892
"36",36,194.94,"G12R","G",15,239.62,1.0072,1.0045,10.0716204118172,6.04297224709074,83.885407341092
"37",37,210.02,"G13L","G",15,259.68,1.0072,1.0045,9.06161900926288,5.43697140555808,85.501409585179
"38",38,195,"G14R","G",15,240.4,1.0075,1.0041,9.03083700440527,7.48898678414112,83.4801762114536
"39",39,214.22,"G15R","G",15,256.41,1.008,1.0041,9.7179426404361,9.24389665797585,81.0381607015881
"40",40,202,"G16R","G",15,247.22,1.0098,1.0041,9.06678460858026,12.6050420168068,78.3281733746129
"41",41,175.51,"G17R","G",15,220.16,1.008,1.004,8.95856662933931,8.95856662933932,82.0828667413214
"42",42,210.69,"G18R","G",15,255.23,1.008,1.0042,9.42972608890881,8.53165693758425,82.0386169735069
"43",43,194.96,"G19L","G",15,239.82,1.0087,1.004,8.9166295140437,10.4770396790012,80.6063308069551
"44",44,211.19,"G20L","G",15,256.11,1.0086,1.005,11.1308993766694,8.01424755120224,80.8548530721284
"45",45,194.88,"G21L","G",15,239.56,1.0085,1.005,11.1906893464635,7.83348254252475,80.9758281110118
"46",46,201.75,"G22L","G",15,246.73,1.0091,1.0058,12.8946198310361,7.33659404179653,79.7687861271674
"47",47,214.79,"G23L","G",15,258.05,1.009,1.0061,14.1007859454461,6.70365233472006,79.1955617198338
"48",48,202.06,"G24R","G",15,246.63,1.008,1.0041,9.19901278887142,8.75028045770701,82.0507067534216
"49",49,194.88,"G01R","G",30,239.89,1.01,1.006,13.3303710286603,8.88691401910688,77.7827149522328
"50",50,201.96,"G02L","G",30,246.97,1.009,1.005,11.1086425238833,8.88691401910687,80.0044434570098
"51",51,210.34,"G03","G",30,255.14,1.008,1.004,8.92857142857144,8.92857142857144,82.1428571428571
"52",52,175.4,"G04L","G",30,219.89,1.009,1.0051,11.4632501685774,8.76601483479388,79.7707349966287
"53",53,211.38,"G05R","G",30,256.01,1.0072,1.004,8.96258122339234,7.17006497871408,83.8673537978936
"54",54,174.44,"G06R","G",30,219.68,1.007,1.003,6.63129973474777,8.84173297966402,84.5269672855882
"55",55,194.94,"G07L","G",30,240.04,1.007,1.0039,8.64745011086478,6.87361419068709,84.4789356984481
"56",56,210.02,"G08L","G",30,260.03,1.009,1.0055,10.9978004399121,6.9986002799437,82.0035992801442
"57",57,195,"G09L","G",30,240.46,1.008,1.005,10.9986801583808,6.59920809502885,82.4021117465904
"58",58,214.22,"G10L","G",30,259.36,1.0084,1.005,11.0766504209125,7.53212228622081,81.3912272928667
"59",59,202,"G11R","G",30,246.71,1.0071,1.0042,9.39387161708786,6.48624468798954,84.1198836949226
"60",60,175.51,"G12R","G",30,220.82,1.008,1.0051,11.2557934230856,6.4003531229307,82.3438534539837
"61",61,210.69,"G13L","G",30,255.31,1.0072,1.0048,10.7575078440159,5.37875392200847,83.8637382339756
"62",62,194.96,"G14R","G",30,239.48,1.0082,1.005,11.2309074573223,7.18778077268665,81.581311769991
"63",63,211.19,"G15R","G",30,256.62,1.0078,1.0043,9.46511116002635,7.70416024653325,82.8307285934404
"64",64,194.88,"G16R","G",30,247.44,1.011,1.005,9.51293759512917,11.4155251141553,79.0715372907156
"65",65,201.96,"G17R","G",30,246.75,1.0087,1.0043,9.60035722259427,9.82362134404993,80.5760214333558
"66",66,210.34,"G18R","G",30,259.89,1.0082,1.0047,9.48536831483336,7.06357214934422,83.4510595358224
"67",67,195.53,"G19L","G",30,240.25,1.0083,1.0045,10.0626118067977,8.49731663685157,81.4400715563507
"68",68,213.73,"G20L","G",30,255.42,1.009,1.006,14.3919405133126,7.19597025665601,78.4120892300314
"69",69,175.4,"G21L","G",30,220.55,1.0085,1.005,11.0741971207085,7.75193798449626,81.1738648947952
"70",70,194.94,"G22L","G",30,239.18,1.0094,1.0055,12.4321880650996,8.81555153707055,78.7522603978299
"71",71,210.02,"G23L","G",30,259.13,1.009,1.0058,11.8102219507229,6.51598452453648,81.6737935247406
"72",72,195,"G24R","G",30,239.49,1.008,1.004,8.99078444594291,8.99078444594291,82.0184311081142
"73",73,175.4,"G01R","G",45,220.44,1.01,1.006,13.3214920071048,8.88099467140321,77.797513321492
"74",74,212.18,"G02L","G",45,256.9,1.009,1.0051,11.4042933810378,8.72093023255769,79.8747763864045
"75",75,215.1,"G03","G",45,260.31,1.008,1.0032,7.078080070781,10.617120106171,82.304799823048
"76",76,195,"G04L","G",45,240.86,1.008,1.0045,9.81247274313115,7.63192324465778,82.5556040122111
"77",77,214.22,"G05R","G",45,258.94,1.008,1.004,8.94454382826477,8.94454382826477,82.1109123434705
"78",78,202,"G06R","G",45,246.8,1.0072,1.0035,7.81250000000013,8.25892857142865,83.9285714285712
"79",79,175.51,"G07L","G",45,220.78,1.007,1.004,8.83587364700685,6.62690523525489,84.5372211177383
"80",80,210.69,"G08L","G",45,255.84,1.0089,1.0055,12.1816168327798,7.53045404208161,80.2879291251386
"81",81,194.96,"G09L","G",45,240.21,1.0088,1.0052,11.4917127071825,7.95580110497199,80.5524861878455
"82",82,211.19,"G10L","G",45,256.31,1.0091,1.006,13.2978723404255,6.87056737588675,79.8315602836877
"83",83,194.88,"G11R","G",45,239.7,1.0072,1.005,11.1557340473001,4.90852298081259,83.9357429718873
"84",84,201.96,"G12R","G",45,246.98,1.0081,1.0052,11.5504220346515,6.44158151932453,82.007996446024
"85",85,210.34,"G13L","G",45,259.61,1.0081,1.0051,10.3511264461135,6.08889790947817,83.5599756444084
"86",86,195.53,"G14R","G",45,240.81,1.0089,1.0055,12.1466431095408,7.50883392226115,80.3445229681981
"87",87,213.73,"G15R","G",45,255.03,1.008,1.0042,10.1694915254237,9.20096852300249,80.6295399515738
"88",88,175.4,"G16R","G",45,220.24,1.0096,1.0045,10.0356824264049,11.3737734165926,78.5905441570026
"89",89,212.18,"G17R","G",45,257.15,1.0092,1.0055,12.2303758060931,8.22770736046262,79.5419168334443
"90",90,215.1,"G18R","G",45,254.54,1.0085,1.0052,13.1845841784992,8.36713995943169,78.4482758620691
